target,feature,spearman_correlation,abs_correlation
Zn,Rainfall,-0.4617837689053153,0.4617837689053153
Fe,Rainfall,-0.4088031323372484,0.4088031323372484
Cu,Rainfall,-0.4033821857601359,0.4033821857601359
Zn,Soil_Moisture,-0.3598978675754479,0.3598978675754479
Cu,Soil_Moisture,-0.3455792997928849,0.3455792997928849
Fe,Soil_Moisture,-0.3319862904981336,0.3319862904981336
pH,Rainfall,-0.325517851644822,0.325517851644822
pH,Soil_Moisture,-0.3099556433942104,0.3099556433942104
Mg,Elevation,0.2883292529690028,0.2883292529690028
B,Rainfall,-0.2825562767973292,0.2825562767973292
S,Temperature_C,-0.2737290235322122,0.2737290235322122
K,Soil_Moisture,0.2691885509664257,0.2691885509664257
K,Temperature_C,-0.2670184122361874,0.2670184122361874
Organic_Carbon,Soil_Moisture,0.264436120140777,0.264436120140777
S,Soil_Moisture,0.2602769911989386,0.2602769911989386
K,Rainfall,0.2564904626006278,0.2564904626006278
Organic_Carbon,Rainfall,0.235789731433637,0.235789731433637
Mg,Temperature_C,-0.2320132109649649,0.2320132109649649
S,Elevation,0.2232508122447119,0.2232508122447119
Mg,Soil_Moisture,0.2187194756565735,0.2187194756565735
