model,target,feature,mean_abs_shap
XGBoost,pH,Rainfall,0.22856101
XGBoost,pH,Temperature_C,0.08518688
XGBoost,pH,Soil_Moisture,0.06535786
XGBoost,pH,Elevation,0.049396932
XGBoost,pH,NDVI,0.0321869
XGBoost,pH,NDWI,0.031365838
XGBoost,pH,Aspect,0.029539837
XGBoost,pH,Slope,0.026911812
XGBoost,pH,LULC,0.00313312
XGBoost,EC,Rainfall,0.018014831
XGBoost,EC,Temperature_C,0.01660999
XGBoost,EC,Elevation,0.012610641
XGBoost,EC,NDVI,0.011670464
XGBoost,EC,NDWI,0.011625168
XGBoost,EC,Soil_Moisture,0.0078466255
XGBoost,EC,Aspect,0.007586286
XGBoost,EC,Slope,0.0045436965
XGBoost,EC,LULC,0.0005870596
XGBoost,Organic_Carbon,Rainfall,0.19348226
XGBoost,Organic_Carbon,Elevation,0.08029085
XGBoost,Organic_Carbon,NDVI,0.06253085
XGBoost,Organic_Carbon,Temperature_C,0.05266239
XGBoost,Organic_Carbon,Aspect,0.05108314
XGBoost,Organic_Carbon,NDWI,0.047811523
XGBoost,Organic_Carbon,Soil_Moisture,0.046363775
XGBoost,Organic_Carbon,Slope,0.028876852
XGBoost,Organic_Carbon,LULC,0.0013544156
XGBoost,P,Temperature_C,6.8170485
XGBoost,P,Soil_Moisture,3.898629
XGBoost,P,Rainfall,2.995504
XGBoost,P,NDWI,2.8298113
XGBoost,P,Aspect,2.425625
XGBoost,P,NDVI,2.2791238
XGBoost,P,Elevation,2.2513535
XGBoost,P,Slope,1.2702951
XGBoost,P,LULC,0.10303348
XGBoost,K,Rainfall,32.758335
XGBoost,K,Temperature_C,20.159794
XGBoost,K,Elevation,14.089572
XGBoost,K,Soil_Moisture,11.724625
XGBoost,K,NDWI,10.647318
XGBoost,K,Aspect,7.8464556
XGBoost,K,NDVI,7.362891
XGBoost,K,Slope,4.30537
XGBoost,K,LULC,0.52659684
XGBoost,Ca,Temperature_C,66.30887
XGBoost,Ca,Rainfall,47.97756
XGBoost,Ca,Elevation,21.455893
XGBoost,Ca,Soil_Moisture,19.228033
XGBoost,Ca,NDWI,14.234892
XGBoost,Ca,Slope,13.334641
XGBoost,Ca,NDVI,12.957592
XGBoost,Ca,Aspect,11.666933
XGBoost,Ca,LULC,0.6548489
XGBoost,Mg,Rainfall,27.651459
XGBoost,Mg,Temperature_C,26.478226
XGBoost,Mg,Elevation,13.192075
XGBoost,Mg,NDVI,7.208288
XGBoost,Mg,Soil_Moisture,5.3119226
XGBoost,Mg,Aspect,4.868025
XGBoost,Mg,NDWI,4.024016
XGBoost,Mg,Slope,3.3962336
XGBoost,Mg,LULC,0.18707038
XGBoost,S,Rainfall,3.962213
XGBoost,S,Temperature_C,3.5829048
XGBoost,S,Elevation,2.9963794
XGBoost,S,Soil_Moisture,1.973687
XGBoost,S,NDVI,1.2446706
XGBoost,S,Aspect,1.2349484
XGBoost,S,NDWI,1.0078785
XGBoost,S,Slope,0.88071674
XGBoost,S,LULC,0.02878391
XGBoost,Fe,Rainfall,9.053293
XGBoost,Fe,Soil_Moisture,6.048327
XGBoost,Fe,Temperature_C,3.4457865
XGBoost,Fe,NDWI,1.9887805
XGBoost,Fe,Elevation,1.8322936
XGBoost,Fe,Slope,0.9603365
XGBoost,Fe,NDVI,0.88953394
XGBoost,Fe,Aspect,0.8290008
XGBoost,Fe,LULC,0.08831223
XGBoost,Mn,Rainfall,5.6610556
XGBoost,Mn,Temperature_C,2.879266
XGBoost,Mn,Soil_Moisture,2.2398465
XGBoost,Mn,Elevation,1.5077665
XGBoost,Mn,NDWI,1.1540489
XGBoost,Mn,Slope,0.58797777
XGBoost,Mn,Aspect,0.58347285
XGBoost,Mn,NDVI,0.51007664
XGBoost,Mn,LULC,0.01792836
XGBoost,Zn,Rainfall,1.2481974
XGBoost,Zn,Temperature_C,0.5510422
XGBoost,Zn,Soil_Moisture,0.4896378
XGBoost,Zn,Elevation,0.23847105
XGBoost,Zn,NDWI,0.19152297
XGBoost,Zn,Aspect,0.14288391
XGBoost,Zn,NDVI,0.13530794
XGBoost,Zn,Slope,0.094816126
XGBoost,Zn,LULC,0.0017896591
XGBoost,Cu,Rainfall,0.69481623
XGBoost,Cu,Soil_Moisture,0.19782707
XGBoost,Cu,Temperature_C,0.18003078
XGBoost,Cu,Elevation,0.12926972
XGBoost,Cu,NDWI,0.09292188
XGBoost,Cu,NDVI,0.088932626
XGBoost,Cu,Aspect,0.07324666
XGBoost,Cu,Slope,0.057645403
XGBoost,Cu,LULC,0.002750967
XGBoost,B,Temperature_C,0.1255759
XGBoost,B,Rainfall,0.084456824
XGBoost,B,Soil_Moisture,0.05382932
XGBoost,B,Elevation,0.048156668
XGBoost,B,NDWI,0.031004347
XGBoost,B,Aspect,0.030999944
XGBoost,B,NDVI,0.025874106
XGBoost,B,Slope,0.017149374
XGBoost,B,LULC,0.0014506663
