target,mae,rmse,r2,mape,bias,explained_variance
Organic_Carbon,0.8031479745167514,1.0483032363776,-0.08450436371570846,129.8023022911945,0.028500928177605238,-0.05665553450081279
S,17.964339529807116,26.51987424629089,-0.26182313512959354,288.67406353448206,-0.8539643391048403,-0.1440012589482364
pH,0.6846205942044131,0.8314441845625211,-0.3308273212648588,11.940590541003052,-0.033356219345702154,-0.11193990153193578
K,157.50494835821127,194.93881438180256,-0.43977714848649113,78.65573924405564,37.143440979784664,-0.07923129891017805
EC,0.14793604686066553,0.2756285205163867,-0.6375605007704996,92.7537463301839,-0.006239709091247169,-0.6077125835217579
P,42.28484314839475,52.332548377581816,-0.746223217038355,191.13588799867415,6.98083287458709,-0.08991169654403369
Mg,127.20229310891774,149.1199025220536,-1.5861933512172726,140.41166205015563,3.0537202271110875,-0.16407918017577577
Ca,357.02020246455675,411.2020692480479,-1.7743402069103282,172.43074136864072,4.348621017817493,-0.1315635025798284
Cu,2.219870525832796,2.8117565583735358,-2.9203848195602347,1253.9953947180072,-0.14207847322870293,-0.3288836146186178
B,0.7139674701511639,0.9052787914323663,-3.5294568958800303,652.0742037709343,0.3260939465042984,-1.961587451227796
Fe,37.83857494695751,46.301321498506674,-9.537539277719965,311.2787321188885,4.903175380680781,-1.0937386632142934
Mn,24.170659269379204,30.212086207489293,-9.758911859232697,223.75727095551142,-0.45485985209045965,-0.6556229162444263
Zn,5.438757470007355,6.3833391318692145,-66.38872280782805,595.5141322696694,0.3356469484100364,-2.6988402599919543
